id;fecha_inicio;fecha_fin;disponible
1;2024-09-17T12:04:01;2024-09-18T11:41:06;false
2;2024-09-18T02:50:39;2024-09-17T21:59:25;false
3;2024-09-18T05:44:18;2024-09-18T10:26:47;true
4;2024-09-17T16:56:28;2024-09-18T04:35:51;false
5;2024-09-18T02:24:39;2024-09-17T18:54:21;true
6;2024-09-18T01:40:19;2024-09-18T08:40:07;false
7;2024-09-18T04:12:57;2024-09-18T03:57:10;false
8;2024-09-18T02:21:11;2024-09-18T04:27:11;true
9;2024-09-17T23:34:51;2024-09-17T18:03:26;false
10;2024-09-17T20:33:19;2024-09-18T10:53:55;true
